"","DoNotConflict","ExplicitlyAgree","StrictJointAssertions","SemiStrictJointAssertions","SymmetricDifference","MarczewskiSteinhaus","SteelPenny","QuartetDivergence"
"1",0.335853125369254,0.335853125369254,0.335853125369254,0.335853125369254,0.335853125369254,0.201816997339118,0.335853125369254,0.335853125369254
"2",0.333977313009571,0.333977313009571,0.333977313009571,0.333977313009571,0.333977313009571,0.200463844590785,0.333977313009571,0.333977313009571
"3",0.323676592224979,0.323676592224979,0.323676592224979,0.323676592224979,0.323676592224979,0.193087199476976,0.323676592224979,0.323676592224979
"4",0.330956812005199,0.330956812005199,0.330956812005199,0.330956812005199,0.330956812005199,0.198291341042417,0.330956812005199,0.330956812005199
"5",0.32522450667612,0.32522450667612,0.32522450667612,0.32522450667612,0.32522450667612,0.194189912601751,0.32522450667612,0.32522450667612
"6",0.337523632281697,0.337523632281697,0.337523632281697,0.337523632281697,0.337523632281697,0.203024619679218,0.337523632281697,0.337523632281697
"7",0.339449663239986,0.339449663239986,0.339449663239986,0.339449663239986,0.339449663239986,0.204419977958816,0.339449663239986,0.339449663239986
"8",0.340824766631218,0.340824766631218,0.340824766631218,0.340824766631218,0.340824766631218,0.205418185961714,0.340824766631218,0.340824766631218
"9",0.323317676946709,0.323317676946709,0.323317676946709,0.323317676946709,0.323317676946709,0.19283180391497,0.323317676946709,0.323317676946709
"10",0.331216767103864,0.331216767103864,0.331216767103864,0.331216767103864,0.331216767103864,0.198478005156514,0.331216767103864,0.331216767103864
"11",0.341783351057545,0.341783351057545,0.341783351057545,0.341783351057545,0.341783351057545,0.206115015957366,0.341783351057545,0.341783351057545
"12",0.331200519910197,0.331200519910197,0.331200519910197,0.331200519910197,0.331200519910197,0.198466336945631,0.331200519910197,0.331200519910197
"13",0.333506144393241,0.333506144393241,0.333506144393241,0.333506144393241,0.333506144393241,0.200124436865574,0.333506144393241,0.333506144393241
"14",0.345025404702824,0.345025404702824,0.345025404702824,0.345025404702824,0.345025404702824,0.208477764965854,0.345025404702824,0.345025404702824
"15",0.326766513056836,0.326766513056836,0.326766513056836,0.326766513056836,0.326766513056836,0.195290445479792,0.326766513056836,0.326766513056836
"16",0.346181909488361,0.346181909488361,0.346181909488361,0.346181909488361,0.346181909488361,0.209322846009783,0.346181909488361,0.346181909488361
"17",0.322901157981803,0.322901157981803,0.322901157981803,0.322901157981803,0.322901157981803,0.192535555980248,0.322901157981803,0.322901157981803
"18",0.323460947654496,0.323460947654496,0.323460947654496,0.323460947654496,0.323460947654496,0.192933738824616,0.323460947654496,0.323460947654496
"19",0.373416637126315,0.373416637126315,0.373416637126315,0.373416637126315,0.373416637126315,0.229571164718296,0.373416637126315,0.373416637126315
"20",0.336563570837764,0.336563570837764,0.336563570837764,0.336563570837764,0.336563570837764,0.202330287432306,0.336563570837764,0.336563570837764
"21",0.338014002126905,0.338014002126905,0.338014002126905,0.338014002126905,0.338014002126905,0.203379572727733,0.338014002126905,0.338014002126905
"22",0.323477194848163,0.323477194848163,0.323477194848163,0.323477194848163,0.323477194848163,0.192945299553421,0.323477194848163,0.323477194848163
"23",0.327219957461893,0.327219957461893,0.327219957461893,0.327219957461893,0.327219957461893,0.19561445566113,0.327219957461893,0.327219957461893
"24",0.325970400567175,0.325970400567175,0.325970400567175,0.325970400567175,0.325970400567175,0.194722005320346,0.325970400567175,0.325970400567175
"25",0.32056156209382,0.32056156209382,0.32056156209382,0.32056156209382,0.32056156209382,0.190874255857498,0.32056156209382,0.32056156209382
"26",0.331687935720194,0.331687935720194,0.331687935720194,0.331687935720194,0.331687935720194,0.198816482133024,0.331687935720194,0.331687935720194
"27",0.336946118397731,0.336946118397731,0.336946118397731,0.336946118397731,0.336946118397731,0.202606856052734,0.336946118397731,0.336946118397731
